LocationID	Treatment	Label	SizeCat	TreePerimeter	Lat	Long	Aspect	Trees50	DistIsland	DistReef	WMI	Abundance
1	a.natural.tree	1TL	large	21.4	-18.174679	178.519585	e	1	213.461218	427.930848	2.058508807	61
1	a.natural.tree	1TL	large	21.4	-18.174679	178.519585	s	1	213.461218	427.930848	1.532481272	36
2	a.natural.tree	1TM	medium	9.2	-18.174779	178.521392	e	0	384.6216124	304.8428821	1.581554971	77
2	a.natural.tree	1TM	medium	9.2	-18.174779	178.521392	s	0	384.6216124	304.8428821	1.836242154	47
3	a.natural.tree	1TS	small	0.55	-18.173557	178.51946	e	12	147.6480389	534.1056529	1.714416596	14
3	a.natural.tree	1TS	small	0.55	-18.173557	178.51946	s	12	147.6480389	534.1056529	1.689712715	10
4	a.natural.tree	2TL	large	17.5	-18.175207	178.518192	e	4	134.7359018	478.5779172	1.727991399	187
4	a.natural.tree	2TL	large	17.5	-18.175207	178.518192	s	4	134.7359018	478.5779172	1.773775143	105
5	a.natural.tree	2TM	medium	7.8	-18.173892	178.52169	e	0	386.0593547	368.3872425	1.799906358	45
5	a.natural.tree	2TM	medium	7.8	-18.173892	178.52169	s	0	386.0593547	368.3872425	1.459154181	21
6	a.natural.tree	2TS	small	0.3	-18.174955	178.518277	e	9	123.4567458	493.4659683	1.780235041	23
6	a.natural.tree	2TS	small	0.3	-18.174955	178.518277	s	9	123.4567458	493.4659683	1.863523825	29
7	a.natural.tree	3TL	large	30.3	-18.173308	178.519574	e	7	155.3255161	548.4669352	1.422256397	48
7	a.natural.tree	3TL	large	30.3	-18.173308	178.519574	s	7	155.3255161	548.4669352	1.330050389	49
8	a.natural.tree	3TM	medium	9.5	-18.175653	178.519996	e	0	314.2242723	316.714242	2.109229919	187
8	a.natural.tree	3TM	medium	9.5	-18.175653	178.519996	s	0	314.2242723	316.714242	2.191201637	30
9	a.natural.tree	3TS	small	4.6	-18.174176	178.51908	e	6	137.1191044	504.6754286	1.711183944	21
9	a.natural.tree	3TS	small	4.6	-18.174176	178.51908	s	6	137.1191044	504.6754286	1.478641932	14
10	a.natural.tree	4TL	large	26	-18.172881	178.520283	e	4	231.3554119	544.7727502	1.612735372	41
10	a.natural.tree	4TL	large	26	-18.172881	178.520283	s	4	231.3554119	544.7727502	1.305324965	26
11	a.natural.tree	4TM	medium	7.8	-18.173352	178.522228	e	2	436.0748357	385.3976777	2.096644616	157
11	a.natural.tree	4TM	medium	7.8	-18.173352	178.522228	s	2	436.0748357	385.3976777	2.050902683	71
12	a.natural.tree	4TS	small	0.6	-18.171776	178.521187	e	3	341.6811989	591.5374967	2.08067257	7
12	a.natural.tree	4TS	small	0.6	-18.171776	178.521187	s	3	341.6811989	591.5374967	1.839064017	12
13	a.natural.tree	5TL	large	21	-18.173314	178.521103	e	0	316.9751125	456.28802	1.732130751	81
13	a.natural.tree	5TL	large	21	-18.173314	178.521103	s	0	316.9751125	456.28802	1.680577001	32
14	a.natural.tree	5TM	medium	11	-18.172045	178.521902	e	3	409.0969521	524.1493547	1.705909299	25
14	a.natural.tree	5TM	medium	11	-18.172045	178.521902	s	3	409.0969521	524.1493547	1.565031739	42
15	a.natural.tree	5TS	small	3	-18.171308	178.521824	e	2	421.9596385	596.9394779	1.780719781	13
15	a.natural.tree	5TS	small	3	-18.171308	178.521824	s	2	421.9596385	596.9394779	1.611194068	8
16	a.natural.tree	6TL	large	20	-18.172121	178.521477	e	3	363.3671569	542.6888554	1.65970085	44
16	a.natural.tree	6TL	large	20	-18.172121	178.521477	s	3	363.3671569	542.6888554	1.731663798	48
17	a.natural.tree	6TM	medium	15	-18.172015	178.522208	e	4	441.5917967	509.0123432	1.426786799	83
17	a.natural.tree	6TM	medium	15	-18.172015	178.522208	s	4	441.5917967	509.0123432	1.396155598	78
18	a.natural.tree	6TS	small	0.5	-18.171588	178.522264	e	1	457.0734466	546.4495764	1.748954748	10
18	a.natural.tree	6TS	small	0.5	-18.171588	178.522264	s	1	457.0734466	546.4495764	1.673466289	2
19	a.natural.tree	7TL	large	25.8	-18.172106	178.522662	e	3	487.7925266	475.6395701	1.423712453	127
19	a.natural.tree	7TL	large	25.8	-18.172106	178.522662	s	3	487.7925266	475.6395701	1.343007657	112
20	a.natural.tree	7TM	medium	12.5	-18.172299	178.525436	e	0	778.6570957	325.4842522	2.227724103	84
20	a.natural.tree	7TM	medium	12.5	-18.172299	178.525436	s	0	778.6570957	325.4842522	2.160177401	17
21	a.natural.tree	7TS	small	0.5	-18.17191	178.5233	e	1	557.5688959	459.6979192	1.565735227	9
21	a.natural.tree	7TS	small	0.5	-18.17191	178.5233	s	1	557.5688959	459.6979192	1.531755121	11
22	a.natural.tree	8TL	large	24	-18.172256	178.5239	e	0	616.6831311	394.5721489	1.790604328	127
22	a.natural.tree	8TL	large	24	-18.172256	178.5239	s	0	616.6831311	394.5721489	1.661071871	70
23	a.natural.tree	8TM	medium	15.1	-18.170804	178.525635	e	0	824.1066285	484.829182	1.706040181	56
23	a.natural.tree	8TM	medium	15.1	-18.170804	178.525635	s	0	824.1066285	484.829182	1.560336365	62
24	a.natural.tree	8TS	small	0.7	-18.171789	178.52354	e	1	584.7012265	458.2757883	1.964645273	17
24	a.natural.tree	8TS	small	0.7	-18.171789	178.52354	s	1	584.7012265	458.2757883	1.860387952	16
