LocationID	Treatment	Label	SizeCat	TreePerimeter	Lat	Long	Trees50	DistIsland	DistReef	WMI	Abundance
1	a.natural.tree	1TL	large	21.4	-18.174679	178.519585	1	213.461218	427.930848	2.058508807	61
1	b.control.plot	1NTL	controlL	na	-18.17467	178.519754	0	226.9688408	417.7462744	1.950050618	2
2	a.natural.tree	1TM	medium	9.2	-18.174779	178.521392	0	384.6216124	304.8428821	1.581554971	77
2	b.control.plot	1NTM	controlM	na	-18.174739	178.521558	0	399.2711885	298.8324015	1.570145778	39
3	a.natural.tree	1TS	small	0.55	-18.173557	178.51946	12	147.6480389	534.1056529	1.714416596	14
3	b.control.plot	1NTS	controlS	na	-18.173702	178.519284	8	134.5089208	532.8586246	1.57309731	8
4	a.natural.tree	2TL	large	17.5	-18.175207	178.518192	4	134.7359018	478.5779172	1.727991399	187
4	b.control.plot	2NTL	controlL	na	-18.175209	178.518393	8	150.5347985	464.146637	1.777600908	1
5	a.natural.tree	2TM	medium	7.8	-18.173892	178.52169	0	386.0593547	368.3872425	1.799906358	45
5	b.control.plot	2NTM	controlM	na	-18.173941	178.521451	0	362.4205	378.2417278	1.828039583	5
6	a.natural.tree	2TS	small	0.3	-18.174955	178.518277	9	123.4567458	493.4659683	1.780235041	23
6	b.control.plot	2NTS	controlS	na	-18.175038	178.518455	8	143.9431954	474.2601431	1.750548778	3
7	a.natural.tree	3TL	large	30.3	-18.173308	178.519574	7	155.3255161	548.4669352	1.422256397	48
7	b.control.plot	3NTL	controlL	na	-18.173185	178.519753	7	174.0699831	548.0597092	1.560549048	2
8	a.natural.tree	3TM	medium	9.5	-18.175653	178.519996	0	314.2242723	316.714242	2.109229919	187
8	b.control.plot	3NTM	controlM	na	-18.175576	178.520168	0	323.2781907	311.6888123	2.150435289	155
9	a.natural.tree	3TS	small	4.6	-18.174176	178.51908	6	137.1191044	504.6754286	1.711183944	21
9	b.control.plot	3NTS	controlS	na	-18.174138	178.51924	6	148.8499826	497.6096579	1.814345009	1
10	a.natural.tree	4TL	large	26	-18.172881	178.520283	4	231.3554119	544.7727502	1.612735372	41
10	b.control.plot	4NTL	controlL	na	-18.172767	178.520465	4	251.0821168	544.417838	1.731256327	5
11	a.natural.tree	4TM	medium	7.8	-18.173352	178.522228	2	436.0748357	385.3976777	2.096644616	157
11	b.control.plot	4NTM	controlM	na	-18.173199	178.522358	0	449.6098037	391.5617387	2.061355593	6
12	a.natural.tree	4TS	small	0.6	-18.171776	178.521187	3	341.6811989	591.5374967	2.08067257	7
12	b.control.plot	4NTS	controlS	na	-18.171829	178.521015	0	322.570398	597.0117379	1.823614616	18
13	a.natural.tree	5TL	large	21	-18.173314	178.521103	0	316.9751125	456.28802	1.732130751	81
13	b.control.plot	5NTL	controlL	na	-18.173228	178.521284	0	335.9707207	453.2844543	1.75213762	25
14	a.natural.tree	5TM	medium	11	-18.172045	178.521902	3	409.0969521	524.1493547	1.705909299	25
14	b.control.plot	5NTM	controlM	na	-18.171859	178.521973	3	420.22835	536.9736189	1.650333748	5
15	a.natural.tree	5TS	small	3	-18.171308	178.521824	2	421.9596385	596.9394779	1.780719781	13
15	b.control.plot	5NTS	controlS	na	-18.171221	178.522026	1	445.3493338	594.2347422	1.931129783	4
16	a.natural.tree	6TL	large	20	-18.172121	178.521477	3	363.3671569	542.6888554	1.65970085	44
16	b.control.plot	6NTL	controlL	na	-18.172241	178.521367	1	349.9794941	538.3360735	2.019923061	0
17	a.natural.tree	6TM	medium	15	-18.172015	178.522208	4	441.5917967	509.0123432	1.426786799	83
17	b.control.plot	6NTM	controlM	na	-18.171854	178.522326	4	456.958137	517.8032493	1.593229905	0
18	a.natural.tree	6TS	small	0.5	-18.171588	178.522264	1	457.0734466	546.4495764	1.748954748	10
18	b.control.plot	6NTS	controlS	na	-18.171548	178.52246	0	478.2568228	539.630681	1.76137376	1
19	a.natural.tree	7TL	large	25.8	-18.172106	178.522662	3	487.7925266	475.6395701	1.423712453	127
19	b.control.plot	7NTL	controlL	na	-18.1721	178.522833	2	505.8361684	466.9433277	1.746302598	10
20	a.natural.tree	7TM	medium	12.5	-18.172299	178.525436	0	778.6570957	325.4842522	2.227724103	84
20	b.control.plot	7NTM	controlM	na	-18.172177	178.525694	0	806.6580083	333.3837487	2.364510878	5
21	a.natural.tree	7TS	small	0.5	-18.17191	178.5233	1	557.5688959	459.6979192	1.565735227	9
21	b.control.plot	7NTS	controlS	na	-18.171999	178.52312	1	537.3524196	460.9918001	1.718555723	17
22	a.natural.tree	8TL	large	24	-18.172256	178.5239	0	616.6831311	394.5721489	1.790604328	127
22	b.control.plot	8NTL	controlL	na	-18.172234	178.524142	0	642.39371	385.0605341	1.905586334	21
23	a.natural.tree	8TM	medium	15.1	-18.170804	178.525635	0	824.1066285	484.829182	1.706040181	56
23	b.control.plot	8NTM	controlM	na	-18.170811	178.525452	0	805.1582069	486.7164659	1.715938093	3
24	a.natural.tree	8TS	small	0.7	-18.171789	178.52354	1	584.7012265	458.2757883	1.964645273	17
24	b.control.plot	8NTS	controlS	na	-18.1717	178.52377	0	610.3258015	455.505185	2.153822032	20
