LocationID	Treatment	Label	SizeCat	TreePerimeter	Lat	Long	Aspect	Trees50	DistIsland	DistReef	WMI	Abundance
1	a.real.tree	1TS	small	0.55	-18.173557	178.51946	e	12	147.6480389	534.1056529	1.714416596	14
1	a.real.tree	1TS	small	0.55	-18.173557	178.51946	s	12	147.6480389	534.1056529	1.689712715	10
1	c.mimic	1MiS	mimic	2	-18.173877	178.519254	e	7	137.5096197	519.5115865	1.472269485	30
1	c.mimic	1MiS	mimic	2	-18.173877	178.519254	s	7	137.5096197	519.5115865	1.636182187	31
2	a.real.tree	2TS	small	0.3	-18.174955	178.518277	e	9	123.4567458	493.4659683	1.780235041	23
2	a.real.tree	2TS	small	0.3	-18.174955	178.518277	s	9	123.4567458	493.4659683	1.863523825	29
2	c.mimic	2MiS	mimic	2	-18.175362	178.5193	e	6	236.4118207	388.9854947	1.78964266	33
2	c.mimic	2MiS	mimic	2	-18.175362	178.5193	s	6	236.4118207	388.9854947	1.849077904	31
3	a.real.tree	3TS	small	4.6	-18.174176	178.51908	e	6	137.1191044	504.6754286	1.711183944	21
3	a.real.tree	3TS	small	4.6	-18.174176	178.51908	s	6	137.1191044	504.6754286	1.478641932	14
3	c.mimic	3MiS	mimic	2	-18.174135	178.519431	e	4	166.3030473	485.4724936	1.781959911	4
3	c.mimic	3MiS	mimic	2	-18.174135	178.519431	s	4	166.3030473	485.4724936	1.703601438	3
4	a.real.tree	4TS	small	0.6	-18.171776	178.521187	e	3	341.6811989	591.5374967	2.08067257	7
4	a.real.tree	4TS	small	0.6	-18.171776	178.521187	s	3	341.6811989	591.5374967	1.839064017	12
4	c.mimic	4MiS	mimic	2	-18.171888	178.520884	e	0	307.455684	599.4814414	1.951181925	18
4	c.mimic	4MiS	mimic	2	-18.171888	178.520884	s	0	307.455684	599.4814414	1.968324697	11
5	a.real.tree	5TS	small	3	-18.171308	178.521824	e	2	421.9596385	596.9394779	1.780719781	13
5	a.real.tree	5TS	small	3	-18.171308	178.521824	s	2	421.9596385	596.9394779	1.611194068	8
5	c.mimic	5MiS	mimic	2	-18.171209	178.522167	e	1	459.8012537	587.7346022	1.765607917	7
5	c.mimic	5MiS	mimic	2	-18.171209	178.522167	s	1	459.8012537	587.7346022	1.787203887	5
6	a.real.tree	6TS	small	0.5	-18.171588	178.522264	e	1	457.0734466	546.4495764	1.748954748	10
6	a.real.tree	6TS	small	0.5	-18.171588	178.522264	s	1	457.0734466	546.4495764	1.673466289	2
6	c.mimic	6MiS	mimic	2	-18.17151	178.52264	e	0	497.7475165	533.4886916	1.818685463	11
6	c.mimic	6MiS	mimic	2	-18.17151	178.52264	s	0	497.7475165	533.4886916	1.824602652	8
7	a.real.tree	7TS	small	0.5	-18.17191	178.5233	e	1	557.5688959	459.6979192	1.565735227	9
7	a.real.tree	7TS	small	0.5	-18.17191	178.5233	s	1	557.5688959	459.6979192	1.531755121	11
7	c.mimic	7MiS	mimic	2	-18.172062	178.522968	e	2	520.5189955	463.2399203	1.978431869	19
7	c.mimic	7MiS	mimic	2	-18.172062	178.522968	s	2	520.5189955	463.2399203	1.606030365	18
8	a.real.tree	8TS	small	0.7	-18.171789	178.52354	e	1	584.7012265	458.2757883	1.964645273	17
8	a.real.tree	8TS	small	0.7	-18.171789	178.52354	s	1	584.7012265	458.2757883	1.860387952	16
8	c.mimic	8MiS	mimic	2	-18.171677	178.52396	e	0	630.5695622	448.8385304	1.795956217	23
8	c.mimic	8MiS	mimic	2	-18.171677	178.52396	s	0	630.5695622	448.8385304	1.94950946	22
1	b.control.plot	1NTS	controlS	na	-18.173702	178.519284	na	8	134.5089208	532.8586246	1.57309731	8
2	b.control.plot	2NTS	controlS	na	-18.175038	178.518455	na	8	143.9431954	474.2601431	1.750548778	3
3	b.control.plot	3NTS	controlS	na	-18.174138	178.51924	na	6	148.8499826	497.6096579	1.814345009	1
4	b.control.plot	4NTS	controlS	na	-18.171829	178.521015	na	0	322.570398	597.0117379	1.823614616	18
5	b.control.plot	5NTS	controlS	na	-18.171221	178.522026	na	1	445.3493338	594.2347422	1.931129783	4
6	b.control.plot	6NTS	controlS	na	-18.171548	178.52246	na	0	478.2568228	539.630681	1.76137376	1
7	b.control.plot	7NTS	controlS	na	-18.171999	178.52312	na	1	537.3524196	460.9918001	1.718555723	17
8	b.control.plot	8NTS	controlS	na	-18.1717	178.52377	na	0	610.3258015	455.505185	2.153822032	20
