LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	1	0	n	0	6	6	Mulloidichthysflavolineatus
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	2	0	n	0	6	8	Mulloidichthysflavolineatus
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	3	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	4	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	5	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	6	0	n	0	6	6	Lethrinusharak
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	7	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	8	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	9	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	10	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	11	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	12	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	13	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	14	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	15	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	16	0	n	0	6	6	Lethrinusharak
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	17	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	18	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	19	0	n	0	0	0	nogroup
8	1	b	8NTL	control	na	-18.172234	178.524142	na	642.39371	385.0605341	0	20	0	n	0	0	0	nogroup
8	1	a	8TL	large	24	-18.172256	178.5239	e	616.6831311	394.5721489	0	1	100	y	1	190	217	Lutjanussp.
8	1	a	8TL	large	24	-18.172256	178.5239	e	616.6831311	394.5721489	0	2	100	y	1	97	143	Lutjanussp.
8	1	a	8TL	large	24	-18.172256	178.5239	e	616.6831311	394.5721489	0	3	100	y	1	59	102	Lutjanussp.
